date,strategy,ret_net,turnover,cost,n_assets,cov_method,cost_bps,seed
2008-03-31,1/N,-0.011513055750347142,0.04988782262379364,2.494391131189682e-05,34,ewma,5,137
2008-03-31,GA-UQ,-0.02067496908670662,0.35476285317883854,0.00017738142658941928,34,ewma,5,137
2008-04-30,1/N,0.039028633992219806,0.0442295676576885,2.211478382884425e-05,34,ewma,5,137
2008-04-30,GA-UQ,0.08012651679671084,0.3218630391504671,0.00016093151957523357,34,ewma,5,137
2008-05-31,1/N,0.015209318767048743,0.040233601173372074,2.0116800586686038e-05,34,ewma,5,137
2008-05-31,GA-UQ,0.09078410270013479,0.189829047440434,9.4914523720217e-05,34,ewma,5,137
2008-06-30,1/N,-0.13896562508021126,0.06306531001652317,3.153265500826159e-05,34,ewma,5,137
2008-06-30,GA-UQ,-0.08253589962156409,0.12129493272373343,6.064746636186672e-05,34,ewma,5,137
2008-07-31,1/N,-0.005234811827921192,0.041085664500993276,2.0542832250496638e-05,34,ewma,5,137
2008-07-31,GA-UQ,-0.02598800284663075,0.03347214219744321,1.6736071098721607e-05,34,ewma,5,137
2008-08-31,1/N,0.04980673362779048,0.06106766927294617,3.053383463647309e-05,34,ewma,5,137
2008-08-31,GA-UQ,-0.04551610522348805,0.22723012820383978,0.00011361506410191989,34,ewma,5,137
2008-09-30,1/N,-0.12087386690444166,0.05843368379842586,2.921684189921293e-05,34,ewma,5,137
2008-09-30,GA-UQ,-0.25772109754081796,0.2797318771351131,0.00013986593856755655,34,ewma,5,137
2008-10-31,1/N,-0.18351020630170364,0.05513449362289154,2.7567246811445768e-05,34,ewma,5,137
2008-10-31,GA-UQ,-0.2951724656263589,0.013004347666410145,6.502173833205073e-06,34,ewma,5,137
2008-11-30,1/N,-0.05705770914188971,0.10250211149851839,5.1251055749259194e-05,34,ewma,5,137
2008-11-30,GA-UQ,0.006962058730192143,1.0329775394018077,0.0005164887697009039,34,ewma,5,137
2008-12-31,1/N,0.005087316265357659,0.12944328794332627,6.472164397166314e-05,34,ewma,5,137
2008-12-31,GA-UQ,0.015119771199874366,1.2151866652216048,0.0006075933326108024,34,ewma,5,137
2009-01-31,1/N,-0.06757614849451088,0.09494718954043077,4.747359477021539e-05,34,ewma,5,137
2009-01-31,GA-UQ,-0.11315770974444936,0.2262004817826716,0.00011310024089133581,34,ewma,5,137
2009-02-28,1/N,-0.0823472618027979,0.07537317251810541,3.76865862590527e-05,34,ewma,5,137
2009-02-28,GA-UQ,-0.021610471302011314,0.2967781520584386,0.00014838907602921932,34,ewma,5,137
2009-03-31,1/N,0.05059303727080338,0.08465370598058218,4.232685299029109e-05,34,ewma,5,137
2009-03-31,GA-UQ,-0.03508325076126684,1.0390089701653786,0.0005195044850826894,34,ewma,5,137
2009-04-30,1/N,0.19405845759782062,0.0933460043720558,4.66730021860279e-05,34,ewma,5,137
2009-04-30,GA-UQ,0.008391872336771158,0.31469898670175306,0.00015734949335087652,34,ewma,5,137
2009-05-31,1/N,0.016927052885008894,0.0810126483972366,4.05063241986183e-05,34,ewma,5,137
2009-05-31,GA-UQ,0.032682837198183864,0.5760422420591472,0.00028802112102957364,34,ewma,5,137
2009-06-30,1/N,-0.030701964345363923,0.0990401000054203,4.952005000271015e-05,34,ewma,5,137
2009-06-30,GA-UQ,-0.04500230260375219,0.3765594143837563,0.00018827970719187816,34,ewma,5,137
2009-07-31,1/N,0.14131311607757696,0.06713466789995146,3.356733394997573e-05,34,ewma,5,137
2009-07-31,GA-UQ,0.05169989977161697,0.2295322033459944,0.0001147661016729972,34,ewma,5,137
2009-08-31,1/N,0.06757421156604967,0.03529530827310717,1.7647654136553588e-05,34,ewma,5,137
2009-08-31,GA-UQ,0.03134484730575893,0.2977322447052097,0.00014886612235260485,34,ewma,5,137
2009-09-30,1/N,0.05622750752978465,0.06594315801903174,3.297157900951587e-05,34,ewma,5,137
